"permission","defined","module","sub_module","action","allowed_scopes","definition_count","backend_uses","frontend_uses","sidebar_uses","files"
"account_requests.archive","yes","account_requests","account_requests","archive","GLOBAL","1","2","1","0","packages/api/routes/adminAccountRequests.ts|packages/web/src/pages/account-requests/AccountRequestDetailPage.tsx"
"account_requests.decide","yes","account_requests","account_requests","decide","GLOBAL","1","3","1","0","packages/api/routes/adminAccountRequests.ts|packages/web/src/pages/account-requests/AccountRequestDetailPage.tsx"
"account_requests.escalate","yes","account_requests","account_requests","escalate","GLOBAL","1","0","0","0",""
"account_requests.link","yes","account_requests","account_requests","link","GLOBAL","1","0","0","0",""
"account_requests.reject","yes","account_requests","account_requests","reject","GLOBAL","1","0","0","0",""
"account_requests.resolve_escalation","yes","account_requests","account_requests","resolve_escalation","GLOBAL","1","1","1","0","packages/api/routes/adminAccountRequests.ts|packages/web/src/pages/account-requests/AccountRequestDetailPage.tsx"
"account_requests.review","yes","account_requests","account_requests","review","GLOBAL","1","5","1","0","packages/api/routes/adminAccountRequests.ts|packages/web/src/pages/account-requests/AccountRequestDetailPage.tsx"
"account_requests.view","yes","account_requests","account_requests","view","GLOBAL","1","2","1","2","packages/api/routes/adminAccountRequests.ts|packages/web/src/layout/MainLayout.tsx|packages/web/src/pages/ClientProfile.tsx"
"admin.app_contact_links.manage","yes","admin","app_contact_links","manage","GLOBAL","1","0","1","0","packages/web/src/pages/admin/AppContactLinks.tsx"
"admin.app_contact_links.view","yes","admin","app_contact_links","view","GLOBAL","1","0","1","1","packages/web/src/layout/MainLayout.tsx|packages/web/src/pages/admin/AppContactLinks.tsx"
"admin.app_home_banners.manage","yes","admin","app_home_banners","manage","GLOBAL","1","0","1","0","packages/web/src/pages/admin/AppHomeBanners.tsx"
"admin.app_home_banners.view","yes","admin","app_home_banners","view","GLOBAL","1","0","1","1","packages/web/src/layout/MainLayout.tsx|packages/web/src/pages/admin/AppHomeBanners.tsx"
"admin.app_notifications.send","yes","admin","app_notifications","send","GLOBAL|BRANCH","1","0","1","0","packages/web/src/pages/admin/AppNotifications.tsx"
"admin.app_notifications.view","yes","admin","app_notifications","view","GLOBAL|BRANCH","1","0","1","1","packages/web/src/layout/MainLayout.tsx|packages/web/src/pages/admin/AppNotifications.tsx"
"admin.emergency_action_types.manage","yes","admin","emergency_action_types","manage","GLOBAL|BRANCH|ASSIGNED","1","3","1","0","packages/api/routes/emergencyActionTypes.ts|packages/web/src/pages/admin/EmergencyActionTypes.tsx"
"admin.emergency_action_types.view","yes","admin","emergency_action_types","view","GLOBAL|BRANCH|ASSIGNED","1","1","1","0","packages/api/routes/emergencyActionTypes.ts|packages/web/src/pages/admin/EmergencyActionTypes.tsx"
"admin.roles.manage","yes","admin","roles","manage","GLOBAL","1","4","2","0","packages/api/routes/roles.ts|packages/web/src/pages/admin/RolePermissions.tsx|packages/web/src/pages/admin/Roles.tsx"
"admin.roles.users.manage","yes","admin","roles_users","manage","GLOBAL|BRANCH","1","8","3","0","packages/api/routes/employees.ts|packages/api/routes/roles.ts|packages/api/trpc/routers/roles.ts|packages/web/src/pages/admin/Roles.tsx|packages/web/src/pages/admin/Users.tsx|packages/web/src/pages/EmployeeDetail.tsx"
"admin.roles.view","yes","admin","roles","view","GLOBAL","1","4","2","1","packages/api/routes/roles.ts|packages/web/src/layout/MainLayout.tsx|packages/web/src/pages/admin/RolePermissions.tsx|packages/web/src/pages/admin/Roles.tsx"
"admin.system_lists.manage","yes","admin","system_lists","manage","GLOBAL","1","6","1","0","packages/api/routes/systemLists.ts|packages/web/src/pages/admin/SystemLists.tsx"
"admin.system_lists.view","yes","admin","system_lists","view","GLOBAL","1","3","1","1","packages/api/routes/systemLists.ts|packages/web/src/layout/MainLayout.tsx|packages/web/src/pages/admin/SystemLists.tsx"
"admin.task_types.manage","yes","admin","task_types","manage","GLOBAL|BRANCH|ASSIGNED","1","1","1","0","packages/api/routes/taskTypeConfig.ts|packages/web/src/pages/admin/TaskTypes.tsx"
"admin.task_types.view","yes","admin","task_types","view","GLOBAL|BRANCH|ASSIGNED","1","0","1","1","packages/web/src/layout/MainLayout.tsx|packages/web/src/pages/admin/TaskTypes.tsx"
"admin.users.view_list","yes","admin","users","view_list","GLOBAL|BRANCH","1","1","2","1","packages/api/routes/roles.ts|packages/web/src/layout/MainLayout.tsx|packages/web/src/pages/admin/Users.tsx"
"agent_license.archive","yes","agent_license","service_requests","archive","GLOBAL","1","0","0","0",""
"agent_license.decide","yes","agent_license","service_requests","decide","GLOBAL","1","0","0","0",""
"agent_license.resolve_escalation","yes","agent_license","service_requests","resolve_escalation","GLOBAL","1","0","0","0",""
"agent_license.review","yes","agent_license","service_requests","review","GLOBAL","1","1","0","0","packages/api/services/serviceRequests/atomicClientLink.test.ts"
